contractor_id,contractor_name,mapped_dealer_id,state,city,mobile,tier,specialty,last_training_date,data_quality_note
ASPCON000001,Anand Varma,ASPDLR000761,Tamil Nadu,Trichy,9562010901,Dormant,Interior repaint,08/27/2024,same mobile as helper
ASPCON000002,Karthik Reddy,ASPDLR000329,Karnataka,Mysuru,9024428767,Gold,Exterior,,
ASPCON000003,Lakshmi Kumar,ASPDLR000300,AP,Kurnool,9832837518,Silver,Luxury,11/01/2024,spelling mismatch
ASPCON000004,Jagan Joseph,ASPDLR000059,Telangana,Nalgonda,8564871377,Gold,Projects,2025-11-07,inactive but claims points
ASPCON000005,Prakash Khan,ASPDLR000041,Karnataka,Davanagere,9368233285,Registered,Exterior,,inactive but claims points
ASPCON000006,Bala Kumar,ASPDLR000206,Tamil Nadu,Hosur,6843407434,Elite,Luxury,19/04/2025,inactive but claims points
ASPCON000007,Kavya Shetty,ASPDLR000076,Telangana,Karimnagar,6457962367,Elite,Luxury,2025-02-27,dealer mapping old
ASPCON000008,Ganesh Reddy,ASPDLR000576,TG,Warangal,7845019102,Silver,Waterproofing,09/08/2023,same mobile as helper
ASPCON000009,Arun Varma,ASPDLR000946,Andhra Pradesh,Kadapa,9433179555,Elite,Luxury,,same mobile as helper
ASPCON000010,Karthik Pillai,ASPDLR000224,Kerala,Thiruvananthapuram,9021525985,Dormant,Projects,2026-01-21,inactive but claims points
ASPCON000011,Ganesh Reddy,ASPDLR000871,Karnataka,Tumakuru,8213564142,Dormant,Exterior,15-Nov-23,spelling mismatch
ASPCON000012,Ganesh Pillai,ASPDLR000228,Telangana,Adilabad,,Gold,Interior repaint,,
ASPCON000013,Geetha Reddy,ASPDLR000542,Tamil Nadu,Cuddalore,9915842170,Silver,Interior repaint,2024-12-13,
ASPCON000014,Chandra Babu,ASPDLR000438,Puducherry,Karaikal,7148695094,Silver,Waterproofing,,spelling mismatch
ASPCON000015,Karthik Gowda,ASPDLR000756,Telangana,Siddipet,6649802695,Dormant,Exterior,,spelling mismatch
ASPCON000016,Lokesh Gowda,ASPDLR000515,Karnataka,Raichur,9788867674,Dormant,Projects,,same mobile as helper
ASPCON000017,Manoj Rao,ASPDLR000194,TG,Adilabad,8726253295,Silver,Interior repaint,,dealer mapping old
ASPCON000018,Anand Rao,ASPDLR000198,Telangana,Hyderabad,8734298442,Dormant,Waterproofing,2023-06-30,same mobile as helper
ASPCON000019,Anand Kumar,ASPDLR000580,Karnataka,Belagavi,6553336588,Gold,Waterproofing,2024-06-15,same mobile as helper
ASPCON000020,Karthik Kumar,ASPDLR000885,Kerala,Kannur,7806843457,Silver,Exterior,2023-11-21,spelling mismatch
ASPCON000021,Arun Pillai,ASPDLR000310,Andhra Pradesh,Nellore,9231007265,Dormant,Interior repaint,2024-10-08,dealer mapping old
ASPCON000022,Naveen Patil,ASPDLR000949,Tamil Nadu,Coimbatore,7061135895,Dormant,Exterior,,
ASPCON000023,Prakash Iyer,ASPDLR000102,Andhra Pradesh,Kakinada,6971538117,Dormant,Projects,2024-12-02,same mobile as helper
ASPCON000024,Prakash Kumar,ASPDLR000917,Tamil Nadu,Thanjavur,7640257026,Registered,Exterior,11/24/2025,
ASPCON000025,Suresh Khan,ASPDLR000266,Tamil Nadu,Vellore,8453639154,Elite,Projects,2023-02-19,inactive but claims points
ASPCON000026,Irfan Patil,ASPDLR000311,Karnataka,Tumakuru,6974779824,Gold,Luxury,,inactive but claims points
ASPCON000027,Chandra Babu,ASPDLR000651,Karnataka,Bengaluru,6725008202,Registered,Luxury,2024-02-20,spelling mismatch
ASPCON000028,Priya Prasad,ASPDLR000361,TAMILNADU,Cuddalore,6407163387,Registered,Waterproofing,2023-06-15,
ASPCON000029,Farida Pillai,ASPDLR000309,Karnataka,Davanagere,6544320375,Registered,Exterior,,inactive but claims points
ASPCON000030,Venkatesh Khan,ASPDLR000350,Telangana,Hyderabad,9140415678,Gold,Exterior,,same mobile as helper
