customer_id,legacy_code,customer_name,owner_name,role,channel,parent_customer_id,state,state_clean,district,city,pincode,route_type,sales_rep_id,territory,gstin,mobile,onboarded_date,credit_limit,payment_terms_days,current_status,status_profile_for_eval,data_quality_note
ASPDLR000001,,Sree Revathi Services,Prakash Gowda,dealer,Colour World,,Karnataka,Karnataka,Udupi,Udupi,296826,Metro,SR124,KA-West-9,NA,8676424031,07/11/2022,500000,30,Watch,declining,territory changed FY25
ASPDLR000002,ASP-19225,Royal Jagan Paints,Suresh Acharya,dealer,Beautiful Homes,,Tamil Nadu,Tamil Nadu,Madurai,Madurai,331588,Metro,SR025,TN-South-8,33INZRKR50DJ1Z3,8641220301,2019-01-31,250000,45,Active,growing,
ASPDLR000003,ASP-85287,Lucky Karthik Chemicals,Bala Khan,dealer,Colour World,,Telangana,Telangana,Suryapet,Suryapet,361577,Highway,SR104,TS-West-9,36KZJ3PLE3KO1Z6,8008252236,2023-03-30,1200000,30,Watch,stable,manual code from distributor sheet
ASPDLR000004,ASP-36414,Sri Venkatesh Paints,Sowmya Reddy,dealer,Distributor,,Andhra Pradesh,Andhra Pradesh,Kakinada,Kakinada,373169,Hill route,SR036,AP-Central-9,373GYVUB1BN51Z9,6810785072,2025-08-04,3500000,45,Inactive,stable,duplicate name in old ERP
ASPDLR000005,ASP-19561,MURUGAN MANOJ PAINTS,Senthil Acharya,dealer,Distributor,,Karnataka,Karnataka,Udupi,Udupi,292657,Metro,SR030,KA-Central-2,29AWDPH60K6T1Z7,9562370761,2021-12-26,5000000,7,Active,lost,duplicate name in old ERP
ASPDLR000006,ASP-77252,Royal Lokesh Traders,Bala Acharya,dealer,Distributor,,Karnataka,Karnataka,Dakshina Kannada,Mangaluru,292261,Delta,SR042,KA-East-8,299ZCFZT59BD1Z5,8985656023,2020-06-03,5000000,30,Active,erratic,phone shared by two outlets
ASPDLR000007,null,Ganesh Kavya Chemicals,Venkatesh Patil,dealer,Colour World,,TAMILNADU,Tamil Nadu,Cuddalore,Cuddalore,334120,Highway,SR002,TN-East-3,33CYEA7RC3Q51Z4,9965005026,29/06/2020,750000,7,Watch,declining,manual code from distributor sheet
ASPDLR000008,ASP-40633,Balaji Suresh Traders,Venkatesh Acharya,dealer,Distributor,,Karnataka,Karnataka,Kalaburagi,Kalaburagi,294920,Industrial,SR123,KA-North-3,Applied,9616671913,2019-09-28,7500000,0,Active,credit_watch,territory changed FY25
ASPDLR000009,ASP-77056,National Farida Associates,Suresh Varma,dealer,Distributor,,Karnataka,Karnataka,Dharwad,Hubballi,294423,Delta,SR013,KA-North-5,298EAADTZ7L01Z7,6816128042,2024-11-18,250000,21,Active,stable,GST pending
ASPDLR000010,,Sree Sanjay Tyres,Suresh Khan,dealer,Distributor,,Tamilnadu,Tamil Nadu,Chennai,Chennai,333150,Metro,SR129,TN-South-2,335XHORKFY0Y1Z7,6530020066,2018-10-15,7500000,0,Active,erratic,GST pending
ASPDLR000011,ASP-23717,Sree Prakash Services,Jagan Acharya,dealer,Project dealer,,Tamil Nadu,Tamil Nadu,Kanchipuram,Kanchipuram,339204,Industrial,SR053,TN-South-7,33ENH402TMZW1Z2,7808892222,2020-10-17,500000,30,Active,stable,phone shared by two outlets
ASPDLR000012,ASP-39020,National Chandra Hardware,Geetha Khan,dealer,Project dealer,,Tamil Nadu,Tamil Nadu,Krishnagiri,Hosur,336197,Tier2,SR089,TN-West-7,338JY678AJUG1Z3,7748538181,2021-03-24,3500000,15,Active,declining,territory changed FY25
ASPDLR000013,ASP-63459,Metro Sowmya Enterprises,Priya Prasad,dealer,Colour World,,Andhra Pradesh,Andhra Pradesh,Prakasam,Ongole,372148,Coastal,SR003,AP-Central-2,37OKKUWCZ2BX1Z2,9263073991,2025-11-19,7500000,7,Active,new,phone shared by two outlets
ASPDLR000014,ASP-97289,Sri Sanjay Stores,Lakshmi Naidu,dealer,Project dealer,,Karnataka,Karnataka,Dharwad,Hubballi,293226,Construction,SR041,KA-South-5,296V0GNCL8F41Z5,6334629398,23-Apr-21,7500000,21,New,stable,duplicate name in old ERP
ASPDLR000015,ASP-85492,Prime Karthik Paints,Prakash Kumar,dealer,Project dealer,,Tamil Nadu,Tamil Nadu,Coimbatore,Coimbatore,336372,Tier2,SR028,TN-South-4,33YGDC459S151Z7,9148213232,2020-12-17,3500000,30,Active,declining,phone shared by two outlets
ASPDLR000016,ASP-93323,Metro Ganesh Paints,Senthil Iyer,dealer,Dealer,,Karnataka,Karnataka,Dharwad,Hubballi,296911,Industrial,SR011,KA-South-5,URD,6628301373,2022-03-21,1200000,60,Watch,growing,duplicate name in old ERP
