customer_id,legacy_code,customer_name,owner_name,role,channel,parent_customer_id,state,state_clean,district,city,pincode,route_type,sales_rep_id,territory,gstin,mobile,onboarded_date,credit_limit,payment_terms_days,current_status,status_profile_for_eval,data_quality_note
CEADLR000001,CEA-32611,Modern Yusuf Tyres,Anand Babu,dealer,Rural sub dealer,,Telangana,Telangana,Hyderabad,Hyderabad,364542,Rural,SR136,TS-Central-3,Applied,8948077259,2025-01-04,750000,30,Watch,lost,duplicate name in old ERP
CEADLR000002,CEA-42942,National Hari Hardware,Sanjay Naidu,dealer,Fleet dealer,,Tamil Nadu,Tamil Nadu,Madurai,Madurai,331840,Highway,SR085,TN-East-8,33RJDXTB97MG1Z4,9951585604,2020-03-30,5000000,60,Active,credit_watch,manual code from distributor sheet
CEADLR000003,CEA-43147,Royal Lakshmi Associates,Yusuf Naidu,dealer,Fleet dealer,,TG,Telangana,Hyderabad,Hyderabad,367585,Highway,SR136,TS-North-9,363JSHJR9IRG1Z4,7608685582,2022-04-09,250000,0,Watch,stable,phone shared by two outlets
CEADLR000004,CEA-16469,Mahalakshmi Meena Associates,Meena Khan,dealer,Dealer,,Karnataka,Karnataka,Bengaluru Urban,Bengaluru,296093,Delta,SR101,KA-Central-7,29N342VHCJN21Z6,8272824455,20/11/2019,7500000,45,Watch,erratic,phone shared by two outlets
CEADLR000005,CEA-41953,Vijaya Naveen Agro,Kavya Pillai,dealer,Rural sub dealer,,Tamil Nadu,Tamil Nadu,Salem,Salem,333255,Highway,SR087,TN-East-4,33YP4174OYQW1Z8,7580313752,2019-09-14,5000000,21,Active,declining,
CEADLR000006,CEA-80574,National Anand Depot,Irfan Naidu,dealer,Distributor,,Andhra Pradesh,Andhra Pradesh,Kurnool,Kurnool,378555,Agri belt,SR095,AP-West-6,37IUVD4343Q51Z5,,2022-09-15,1200000,15,Active,stable,
CEADLR000007,CEA-89982,Shree Hari Tyres,Deepak Kumar,dealer,Distributor,,Puducherry,Puducherry,Karaikal,Karaikal,343587,Agri belt,SR060,PY-East-7,NA,6314486204,2019-05-19,1200000,45,Active,stable,manual code from distributor sheet
CEADLR000008,CEA-24249,United Naveen Traders,Kavya Shetty,dealer,Fleet dealer,,Tamil Nadu,Tamil Nadu,Coimbatore,Coimbatore,331669,Tier2,SR120,TN-East-7,33DFYZT5UUG01Z1,7376335799,2017-11-28,750000,45,New,stable,manual code from distributor sheet
CEADLR000009,CEA-67245,Star Rafiq Corporation,Naveen Kumar,dealer,Distributor,,Andhra Pradesh,Andhra Pradesh,Kadapa,Kadapa,377956,Highway,SR086,AP-Central-9,37LFECWEIDVQ1Z4,7252457921,02/24/2019,1200000,60,Active,growing,
CEADLR000010,CEA-68586,Kaveri Sanjay Mart,Lokesh Naidu,dealer,CEAT Shoppe,,Karnataka,Karnataka,Dakshina Kannada,Mangaluru,299522,Highway,SR146,KA-West-8,29QY03P8MQI81Z6,8440401191,2017-12-21,500000,30,Active,stable,GST pending
