customer_id,legacy_code,customer_name,owner_name,role,channel,parent_customer_id,state,state_clean,district,city,pincode,route_type,sales_rep_id,territory,gstin,mobile,onboarded_date,credit_limit,payment_terms_days,current_status,status_profile_for_eval,data_quality_note
CEASUB000001,null,Shree Senthil Agro,Yusuf Naidu,sub_dealer,Puncture shop,CEADLR000426,TG,Telangana,Siddipet,Siddipet,364118,Highway,SR138,TS-West-4,Applied,6163300542,2019-02-07,1200000,0,Active,lost,GST pending
CEASUB000002,CEA-68420,Royal Lokesh Hardware Pvt,Chandra Reddy,sub_dealer,Puncture shop,CEADLR000203,A.P.,Andhra Pradesh,Guntur,Guntur,372275,Delta,SR040,AP-South-8,37XVR9L5GRMG1Z7,6095966080,2024-08-17,400000,45,Active,growing,
CEASUB000003,CEA-74990,SREE MEENA TRADERS,Kavya Acharya,sub_dealer,Rural retail,CEADLR000180,Karnataka,Karnataka,Ballari,Ballari,292782,Coastal,SR094,KA-Central-8,29XCZLPDLGY61Z7,7173594006,2023-09-25,400000,45,Active,credit_watch,manual code from distributor sheet
CEASUB000004,CEA-15527,Mahalakshmi Rafiq Agencies,Lakshmi Rao,sub_dealer,Wheel alignment,CEADLR000055,Andhra Pradesh,Andhra Pradesh,Prakasam,Ongole,376435,Delta,SR122,AP-West-1,3724L6N2OQVI1Z3,9037440611,01-Mar-23,1200000,45,Blocked,stable,
CEASUB000005,CEA-25885,United Naveen Fertilisers,Suresh Kumar,sub_dealer,Sub dealer,CEADLR000143,Tamil Nadu,Tamil Nadu,Madurai,Madurai,333867,Highway,SR026,TN-Central-8,33SJQELEYTNG1Z9,6906568725,2018-04-07,400000,7,Active,stable,duplicate name in old ERP
CEASUB000006,CEA-64813,Balaji Naveen Hardware,Lokesh Babu,sub_dealer,Wheel alignment,CEADLR000628,Puducherry,Puducherry,Karaikal,Karaikal,348993,Rural,SR109,PY-North-8,,8514881929,01/02/2024,400000,7,Active,declining,territory changed FY25
CEASUB000007,CEA-59847,Mahalakshmi Kavya Tyres,Kavya Rao,sub_dealer,Puncture shop,CEADLR000748,Telangana,Telangana,Siddipet,Siddipet,368946,Industrial,SR073,TS-South-9,36R1HN9SF4FE1Z1,8307479321,2018-11-14,50000,21,Watch,erratic,manual code from distributor sheet
CEASUB000008,CEA-63929,Lucky Deepak Fertilisers,Jagan Babu,sub_dealer,Rural retail,CEADLR000185,Andhra Pradesh,Andhra Pradesh,Tirupati,Tirupati,377435,Hill route,SR134,AP-West-6,37CC3WOAW9E71Z5,9999999999,2019-08-04,100000,21,Active,lost,
CEASUB000009,,Shree Hari Depot,Naveen Kumar,sub_dealer,Sub dealer,CEADLR000516,TELANGANA,Telangana,Karimnagar,Karimnagar,366883,Highway,SR086,TS-East-6,36C6IWDQQJ5V1Z8,8113134455,30-Jul-22,150000,60,Active,stable,GST pending
CEASUB000010,CEA-68516,Murugan Anand Associates,Senthil Acharya,sub_dealer,Wheel alignment,CEADLR000311,Karnataka,Karnataka,Dakshina Kannada,Mangaluru,295063,Tier2,SR001,KA-West-8,Applied,9849420047,2025-08-28,400000,60,Active,declining,territory changed FY25
CEASUB000011,CEA-85834,Sri Sowmya Sales,Priya Shetty,sub_dealer,Mechanic,,Tamil Nadu,Tamil Nadu,Kanchipuram,Kanchipuram,339422,Agri belt,SR142,TN-North-1,33L3SQJHI7K21Z4,8965898670,2023-07-24,0,60,Inactive,declining,duplicate name in old ERP
CEASUB000012,CEA-51394,United Irfan Fertilisers,Jagan Shetty,sub_dealer,Rural retail,CEADLR000418,Tamil Nadu,Tamil Nadu,Tirunelveli,Tirunelveli,332317,Metro,SR142,TN-East-3,33S7UEKWE5ZT1Z8,7533262172,06/12/2020,1200000,15,Watch,declining,GST pending
CEASUB000013,CEA-57518,Sree Naveen Depot,Senthil Rao,sub_dealer,Puncture shop,CEADLR000374,Andhra Pradesh,Andhra Pradesh,Nellore,Nellore,379638,Coastal,SR049,AP-East-2,37UHGO9GJLYX1Z1,8825990142,2017-04-10,0,45,Active,growing,territory changed FY25
CEASUB000014,CEA-30585,Shree Lokesh Tyres,Jagan Babu,sub_dealer,Puncture shop,CEADLR000740,KL,Kerala,Kottayam,Kottayam,326005,Hill route,SR098,KL-North-7,32I6LFZUJWKF1Z8,6036603030,06/09/2023,150000,30,Watch,stable,duplicate name in old ERP
CEASUB000015,CEA-73162,Ganesh Lokesh Tyres,Sanjay Prasad,sub_dealer,Puncture shop,CEADLR000682,Telangana,Telangana,Nizamabad,Nizamabad,364899,Delta,SR100,TS-North-4,366J92I6KMHW1Z9,6868641341,2020-10-12,50000,15,Active,stable,territory changed FY25
CEASUB000016,CEA-22180,Metro Lakshmi Hardware,Kavya Kumar,sub_dealer,Rural retail,CEADLR000500,Karnataka,Karnataka,Tumakuru,Tumakuru,294100,Rural,SR033,KA-South-2,292S5JAO0HQR1Z7,7944816728,2017-12-14,0,15,Inactive,stable,territory changed FY25
CEASUB000017,CEA-31061,Royal Suresh Fertilisers Ltd,Irfan Joseph,sub_dealer,Rural retail,CEADLR000553,Telangana,Telangana,Nalgonda,Nalgonda,367723,Highway,SR082,TS-South-2,36Z9S2B9B7BF1Z1,7782569098,12/07/2019,400000,15,Active,growing,phone shared by two outlets
CEASUB000018,CEA-90288,Modern Kavya Agencies,Yusuf Prasad,sub_dealer,Rural retail,CEADLR000678,TS,Telangana,Karimnagar,Karimnagar,369363,Agri belt,SR003,TS-North-3,3672EK8DLEB01Z1,7850173705,2022-12-02,75000,0,Inactive,lost,GST pending
CEASUB000019,CEA-98606,Balaji Arun Agencies,Sanjay Rao,sub_dealer,Mechanic,CEADLR000054,Telangana,Telangana,Karimnagar,Karimnagar,361846,Highway,SR018,TS-East-8,36KBMSN3B7ZT1Z6,7052263519,2022-07-10,100000,15,Active,credit_watch,
CEASUB000020,CEA-35497,Modern Karthik Associates,Yusuf Naidu,sub_dealer,Puncture shop,CEADLR000301,Tamil Nadu,Tamil Nadu,Thanjavur,Thanjavur,332901,Hill route,SR020,TN-South-6,33B4TE7V4S8T1Z2,9444730286,2021-03-07,750000,45,New,declining,GST pending
