registration_id,registration_date,dealer_id,dealer_name,sku_id,tyre_serial_no,vehicle_type,customer_mobile,km_at_registration,extra_warranty_flag,source
CEAWAR00000001,2025-06-26,CEASUB004261,New Rafiq Tyres,CEA0036,C7333926,Truck,6344466301,31489,Y,call center
CEAWAR00000002,2025-06-07,CEASUB001947,Sree Arun Tyres,CEA0018,C1535342,2W,9248714299,0,pending,fleet upload
CEAWAR00000003,2024-10-13,CEASUB002100,United Anand Fertilisers,CEA0002,D4141874,Tractor,8203235388,0,pending,call center
CEAWAR00000004,2024-08-19,CEASUB004079,New Karthik Stores,CEA0013,A3880658,Tractor,8949244346,NA,N,manual
CEAWAR00000005,2024-04-10,CEASUB002501,Lucky Prakash Sales,CEA0038,C7913546,2W,6955886350,42083,Y,call center
CEAWAR00000006,2025-10-07,CEASUB002925,Balaji Lokesh Enterprises,CEA0002,-,LCV,6810206187,0,N,call center
CEAWAR00000007,27/07/2024,CEASUB001559,Sri Anand Tyres,CEA0038,D4742720,Truck,,39880,N,dealer app
CEAWAR00000008,2025-10-09,CEASUB001408,Sree Deepak Depot,CEA0026,C5376980,LCV,9906751346,NA,pending,call center
CEAWAR00000009,04/27/2024,CEASUB004328,City Bala Distributors,CEA0010,B7261125,Tractor,8760401857,0,pending,call center
CEAWAR00000010,2025-08-04,CEASUB000909,Shree Revathi Depot Main,CEA0007,C5785495,Tractor,6898700957,34006,N,fleet upload
CEAWAR00000011,02/15/2026,CEASUB003263,Vijaya Revathi Mart,CEA0008,C5054461,Bus,6140303207,NA,pending,manual
CEAWAR00000012,05/10/2025,CEASUB000238,Modern Ganesh Tyres,CEA0018,B4910728,Truck,8533172776,5340,Y,call center
CEAWAR00000013,2025-09-29,CEADLR000299,Vijaya Senthil Tyres Pvt,CEA0004,B2865550,2W,8756913385,NA,pending,call center
CEAWAR00000014,2024-06-26,CEASUB001257,New Jagan Tyres,CEA0018,B1008569,LCV,7622719438,68736,Y,call center
CEAWAR00000015,2024-09-14,CEASUB000286,Sree Jagan Agencies,CEA0036,C4608048,Tractor,8802339171,NA,pending,dealer app
CEAWAR00000016,2025-03-19,CEASUB002805,New Yusuf Tyres,CEA0023,,Tractor,9240721703,NA,N,call center
CEAWAR00000017,2025-06-05,CEASUB001944,Modern Lokesh Distributors,CEA0026,C7266550,2W,6275748387,0,N,call center
CEAWAR00000018,2025-08-24,CEASUB004235,New Karthik Sales,CEA0031,C5379848,LCV,0,NA,Y,manual
CEAWAR00000019,2024-09-21,CEASUB000517,United Manoj Tyres,CEA0016,D5426208,Truck,8003521934,0,pending,dealer app
CEAWAR00000020,2025-10-28,CEASUB003484,City Hari Sales,CEA0036,B2702654,Tractor,7047179587,0,N,manual
CEAWAR00000021,2025-05-29,CEASUB001463,Vijaya Hari Mart,CEA0020,D7649030,2W,9531903291,NA,Y,fleet upload
CEAWAR00000022,2024-09-23,CEASUB001143,National Geetha Agro,CEA0006,C1170761,LCV,7274401369,0,N,dealer app
CEAWAR00000023,2026-02-12,CEADLR000592,Prime Meena Tyres,CEA0028,C6037448,2W,6113089411,6645,N,dealer app
CEAWAR00000024,2025-09-09,CEASUB000778,Vijaya Revathi Tyres,CEA0014,A4624868,Car,6279914542,61512,pending,website
CEAWAR00000025,2026-03-27,CEASUB001429,Sree Venkatesh Tyres,CEA0031,D5641872,Car,9975767748,NA,Y,fleet upload
CEAWAR00000026,2025-08-30,CEASUB001356,Ganesh Anand Tyres,CEA0022,B6156947,Truck,9025533178,0,pending,dealer app
CEAWAR00000027,2024-10-29,CEASUB004412,National Priya Agro,CEA0016,C6804866,Bus,7382600195,6475,Y,dealer app
CEAWAR00000028,2026-01-28,CEASUB001880,Ganesh Bala Tyres,CEA0001,NA,Tractor,7805003750,NA,pending,call center
CEAWAR00000029,2024-05-11,CEASUB002542,Shree Anand Associates,CEA0034,C2562621,LCV,8141433427,0,Y,call center
CEAWAR00000030,2025-09-09,CEASUB003163,Star Kavya Tyres,CEA0032,C4258597,Truck,9999999999,NA,pending,call center
CEAWAR00000031,2025-01-06,CEASUB001747,NATIONAL BALA TYRES,CEA0033,C8829551,Tractor,9282441843,NA,pending,website
CEAWAR00000032,13/02/2025,CEASUB002765,New Yusuf Associates,CEA0005,A7757891,Bus,9013502517,0,Y,website
CEAWAR00000033,2025-02-05,CEASUB003088,Vijaya Rafiq Mart,CEA0013,A5711899,Tractor,6915349096,28272,Y,fleet upload
CEAWAR00000034,2024-12-18,CEASUB003722,Shree Meena Fertilisers,CEA0005,B4217275,LCV,9148182295,0,Y,website
CEAWAR00000035,2025-08-25,CEADLR000166,Ganesh Arun Tyres,CEA0002,C5743792,Bus,6525496487,0,Y,website
CEAWAR00000036,2025-07-23,CEADLR000296,Lucky Sowmya Tyres,CEA0032,B5091954,2W,6055679310,NA,N,manual
CEAWAR00000037,2025-07-02,CEASUB001680,Lucky Bala Tyres,CEA0019,B3755733,Car,9459103328,0,N,manual
CEAWAR00000038,2025-03-09,CEASUB000314,Shree Arun Tyres,CEA0022,B8692282,2W,7041685630,0,N,fleet upload
CEAWAR00000039,2024-09-12,CEASUB003093,Modern Chandra Agro,CEA0035,A8253396,Car,8994049735,NA,pending,call center
CEAWAR00000040,2025-08-12,CEASUB001840,Shree Ganesh Tyres,CEA0009,A2815765,LCV,8091595771,0,N,dealer app
CEAWAR00000041,2024-10-20,CEADLR000258,CITY JAGAN TYRES,CEA0032,B4260877,Bus,8151570792,49105,pending,dealer app
CEAWAR00000042,2024-09-26,CEASUB000401,City Ganesh Depot,CEA0038,D5679123,Bus,9999999999,0,Y,fleet upload
CEAWAR00000043,02/12/2024,CEADLR000227,New Priya Stores,CEA0019,C5441544,2W,6311866948,NA,N,manual
CEAWAR00000044,2024-07-30,CEADLR000412,Ganesh Revathi Tyres,CEA0037,C5866725,Bus,7494554565,0,pending,website
CEAWAR00000045,25/10/2025,CEASUB000879,Sri Hari Agro,CEA0031,,Truck,7218233900,NA,pending,call center
CEAWAR00000046,19-Feb-26,CEASUB003617,Kaveri Rafiq Tyres,CEA0015,D6600396,LCV,8993161093,0,N,fleet upload
CEAWAR00000047,02/16/2026,CEASUB003334,Modern Lakshmi Tyres,CEA0004,A9873237,Tractor,9107383523,27161,pending,dealer app
CEAWAR00000048,2025-09-24,CEASUB000250,Shree Manoj Associates,CEA0005,D8040083,Car,9083991697,NA,pending,manual
CEAWAR00000049,2025-12-16,CEADLR000251,National Arun Tyres,CEA0008,B2132957,Tractor,9423445141,NA,pending,call center
CEAWAR00000050,2025-06-10,CEADLR000557,Kaveri Lokesh Tyres,CEA0023,C2867998,Car,8802666313,5930,pending,call center
CEAWAR00000051,2025-06-05,CEADLR000424,Sri Farida Services,CEA0037,C4423696,LCV,6218494589,NA,pending,call center
CEAWAR00000052,05/23/2024,CEADLR000111,Sri Senthil Stores,CEA0028,C5784864,2W,9552406110,0,N,dealer app
CEAWAR00000053,2025-03-06,CEASUB004488,SRI Ganesh Tyres,CEA0022,D7644610,2W,8021566023,NA,pending,dealer app
CEAWAR00000054,2024-05-09,CEADLR000140,Prime Chandra Tyres,CEA0003,A5142036,Car,7259948327,0,N,website
CEAWAR00000055,2025-03-08,CEADLR000005,Vijaya Naveen Agro,CEA0014,C1789709,2W,6728344600,38048,pending,fleet upload
CEAWAR00000056,01/10/2025,CEASUB001411,Prime Priya Depot,CEA0024,C5100871,Truck,9806993249,0,Y,website
CEAWAR00000057,01/07/2026,CEASUB004450,Vijaya Revathi Enterprises,CEA0030,D3938861,LCV,9594761600,0,N,manual
CEAWAR00000058,2024-09-12,CEASUB002738,Mahalakshmi Anand Distributors,CEA0021,D5125987,Tractor,7156899109,12996,Y,call center
CEAWAR00000059,2025-08-17,CEASUB001287,Lucky Prakash Traders,CEA0023,D4687844,Bus,6533508434,8943,Y,fleet upload
CEAWAR00000060,2025-02-02,CEASUB002918,Royal Meena Tyres,CEA0011,B8034568,2W,7914808712,0,pending,call center
