customer_id,legacy_code,customer_name,owner_name,role,channel,parent_customer_id,state,state_clean,district,city,pincode,route_type,sales_rep_id,territory,gstin,mobile,onboarded_date,credit_limit,payment_terms_days,current_status,status_profile_for_eval,data_quality_note
CORDLR000001,COR-86830,United Bala Agro,Chandra Prasad,dealer_distributor,Input shop,,Tamil Nadu,Tamil Nadu,Erode,Erode,333892,Highway,SR029,TN-Central-1,33VEQEY7SS8U1Z7,9612866312,2025-11-26,75000,0,Active,lost,territory changed FY25
CORDLR000002,COR-41079,Mahalakshmi Rafiq Enterprises & Co,Revathi Varma,dealer_distributor,Distributor,,Puducherry,Puducherry,Karaikal,Karaikal,348881,Metro,SR112,PY-South-1,34AXFMMD0U6B1Z7,8430299353,2024-07-08,1200000,7,Active,new,GST pending
CORDLR000003,COR-16975,Modern Lokesh Distributors,Prakash Menon,dealer_distributor,Retailer,,Kerala,Kerala,Thiruvananthapuram,Thiruvananthapuram,323915,Construction,SR061,KL-Central-2,32FQB151EY2L1Z7,6704908621,2024-08-31,250000,45,Watch,new,territory changed FY25
CORDLR000004,COR-47612,Balaji Anand Associates,Deepak Varma,dealer_distributor,Distributor,,AP,Andhra Pradesh,Visakhapatnam,Visakhapatnam,379352,Agri belt,SR069,AP-Central-7,37AY865IL7151Z5,6330697735,02/12/2018,50000,21,Active,stable,phone shared by two outlets
CORDLR000005,COR-85280,United Meena Tyres,Geetha Naidu,dealer_distributor,Input shop,,Andhra Pradesh,Andhra Pradesh,Anantapur,Anantapur,377485,Agri belt,SR079,AP-West-4,37IXVK91UXPN1Z1,9421367702,2021-05-22,0,21,Inactive,declining,duplicate name in old ERP
CORDLR000006,N/A,Royal Jagan Agro,Manoj Das,dealer_distributor,Input shop,,TN,Tamil Nadu,Salem,Salem,335935,Hill route,SR017,TN-North-7,3376F1PGYPB31Z6,7438593235,2021-07-20,75000,0,Active,stable,manual code from distributor sheet
CORDLR000007,COR-91531,Ganesh Anand Agro,Hari Patil,dealer_distributor,Dealer,,ANDHRA,Andhra Pradesh,Kakinada,Kakinada,371617,Agri belt,SR111,AP-South-6,37P6KO6POZ521Z9,8723399051,2023-01-19,100000,7,Active,lost,
CORDLR000008,COR-75473,Modern Sanjay Tyres,Jagan Varma,dealer_distributor,Input shop,,Andhra Pradesh,Andhra Pradesh,Kadapa,Kadapa,375145,Rural,SR051,AP-North-2,URD,7366176277,2024-02-11,100000,15,Active,growing,phone shared by two outlets
CORDLR000009,COR-66143,Mahalakshmi Manoj Agro,Sowmya Menon,dealer_distributor,Distributor,,Andhra Pradesh,Andhra Pradesh,Kadapa,Kadapa,375414,Metro,SR008,AP-South-8,37Z4TKF5WFWL1Z7,9278677518,2022-10-28,50000,0,Active,seasonal,
CORDLR000010,COR-10970,Prime Jagan Paints,Deepak Babu,dealer_distributor,Input shop,,Karnataka,Karnataka,Dakshina Kannada,Mangaluru,296695,Highway,SR095,KA-Central-9,29IDCZ72UY211Z5,6463018477,2019-08-23,50000,30,Active,new,
CORDLR000011,COR-39777,Mahalakshmi Chandra Hardware,Deepak Kumar,dealer_distributor,Retailer,,Tamil Nadu,Tamil Nadu,Chennai,Chennai,334406,Agri belt,SR086,TN-South-3,334YGLSGIEOY1Z4,9642988809,2024-04-11,100000,45,Active,stable,phone shared by two outlets
CORDLR000012,-,Kaveri Suresh Associates,Geetha Joseph,dealer_distributor,Cooperative,,Andhra Pradesh,Andhra Pradesh,Kadapa,Kadapa,376816,Agri belt,SR094,AP-South-3,37XNBN244RIU1Z8,8339800726,16-Feb-23,50000,21,Active,growing,manual code from distributor sheet
CORDLR000013,COR-69826,Star Prakash Sales,Venkatesh Naidu,dealer_distributor,Cooperative,,Andhra Pradesh,Andhra Pradesh,Nellore,Nellore,378945,Hill route,SR027,AP-North-9,37CEA3X058201Z2,8700632627,2021-02-15,150000,0,Watch,erratic,GST pending
CORDLR000014,COR-91924,National Kavya Corporation,Arun Nair,dealer_distributor,Distributor,,Tamil Nadu,Tamil Nadu,Madurai,Madurai,336866,Industrial,SR022,TN-South-5,3351ESAXC9YE1Z5,7876036934,2019-07-09,75000,21,Active,stable,phone shared by two outlets
CORDLR000015,COR-90430,National Senthil Agro,Priya Acharya,dealer_distributor,Retailer,,Tamil Nadu,Tamil Nadu,Salem,Salem,-,Industrial,SR133,TN-East-1,,7640994676,2022-07-13,250000,45,Watch,lost,
CORDLR000016,COR-48274,Shree Lakshmi Enterprises,Jagan Pillai,dealer_distributor,Distributor,,Karnataka,Karnataka,Davanagere,Davanagere,296068,Highway,SR119,KA-South-7,29AHC6K6WQ8R1Z7,,2023-10-13,100000,7,Active,growing,territory changed FY25
CORDLR000017,N/A,United Anand Traders Ltd,Rafiq Naidu,dealer_distributor,Cooperative,,Tamil Nadu,Tamil Nadu,Erode,Erode,333751,Metro,SR124,TN-East-4,URD,8533753589,2019-03-01,75000,0,Active,stable,duplicate name in old ERP
CORDLR000018,COR-65068,Murugan Naveen Enterprises,Geetha Nair,dealer_distributor,Cooperative,,Andhra Pradesh,Andhra Pradesh,Kakinada,Kakinada,374987,Agri belt,SR034,AP-Central-9,37V9UHHYOL6X1Z2,9746301964,2019-10-08,250000,45,Active,stable,phone shared by two outlets
CORDLR000019,COR-35785,Modern Deepak Agro,Sanjay Pillai,dealer_distributor,Retailer,,Andhra Pradesh,Andhra Pradesh,Nellore,Nellore,378019,Coastal,SR010,AP-East-1,37MSIALH305F1Z5,6784377522,25/10/2025,400000,45,Active,lost,phone shared by two outlets
CORDLR000020,COR-49314,Kaveri Lakshmi Agro,Venkatesh Das,dealer_distributor,Dealer,,Andhra Pradesh,Andhra Pradesh,Tirupati,Tirupati,373414,Highway,SR025,AP-North-8,37TU5AR5EK0E1Z7,6235464179,30/12/2024,1200000,15,Active,growing,GST pending
CORDLR000021,COR-81244,Star Anand Enterprises,Irfan Das,dealer_distributor,Distributor,,Tamil Nadu,Tamil Nadu,Salem,Salem,332813,Delta,SR077,TN-South-2,33GBVYXUOWF21Z9,7504344950,12/11/2022,100000,60,Inactive,growing,phone shared by two outlets
CORDLR000022,COR-29826,Kaveri Priya Agro,Rafiq Kumar,dealer_distributor,Input shop,,Telangana,Telangana,Warangal,Warangal,364247,Highway,SR024,TS-North-6,367EPFK916751Z3,7978695776,2020-05-07,0,60,Active,growing,manual code from distributor sheet
CORDLR000023,COR-28799,Mahalakshmi Senthil Enterprises,Meena Patil,dealer_distributor,Dealer,,Andhra Pradesh,Andhra Pradesh,East Godavari,Rajahmundry,373238,Industrial,SR130,AP-East-5,37JCNC7JKE8Y1Z7,9951387069,2023-12-25,0,30,Active,erratic,manual code from distributor sheet
CORDLR000024,COR-23458,Murugan Anand Services,Farida Kumar,dealer_distributor,Cooperative,,Karnataka,Karnataka,Davanagere,Davanagere,294216,Tier2,SR117,KA-West-9,29QZZ2VH2JZA1Z2,7900232721,2025-04-29,150000,30,Active,lost,GST pending
CORDLR000025,COR-68864,Balaji Yusuf Agro,Deepak Varma,dealer_distributor,Retailer,,Karnataka,Karnataka,Belagavi,Belagavi,291144,Rural,SR065,KA-South-2,29MZ3AYYWIUO1Z4,6449285088,04-May-21,1200000,15,Active,declining,phone shared by two outlets
CORDLR000026,COR-59895,SREE DEEPAK AGRO,Revathi Naidu,dealer_distributor,Cooperative,,Andhra Pradesh,Andhra Pradesh,Kadapa,Kadapa,372442,Rural,SR122,AP-East-1,Applied,6512309328,2019-05-24,50000,45,Active,growing,
CORDLR000027,COR-74243,New Manoj Agro,Rafiq Menon,dealer_distributor,Distributor,,Tamil Nadu,Tamil Nadu,Tirunelveli,Tirunelveli,335941,Tier2,SR039,TN-West-8,335DW6QCYG1H1Z4,8898401745,27-Oct-25,0,21,Active,stable,manual code from distributor sheet
CORDLR000028,COR-52192,Lucky Suresh Fertilisers,Rafiq Reddy,dealer_distributor,Dealer,,Tamil Nadu,Tamil Nadu,Tiruchirappalli,Trichy,339370,Rural,SR135,TN-West-8,33TVSENSG1F21Z9,8334344632,04/30/2023,750000,15,Active,stable,GST pending
CORDLR000029,COR-54009,United Jagan Services,Karthik Rao,dealer_distributor,Distributor,,Telangana,Telangana,Khammam,Khammam,366742,Delta,SR150,TS-West-3,36JUISOL04WH1Z3,7786000783,2018-01-27,0,21,Active,credit_watch,phone shared by two outlets
CORDLR000030,COR-71655,Star Lakshmi Tyres,Revathi Iyer,dealer_distributor,Retailer,,Telangana,Telangana,Hyderabad,Hyderabad,361086,Highway,SR019,TS-Central-9,36JH2OIOQSHB1Z1,9309907666,2021-12-25,100000,0,Active,stable,
CORDLR000031,COR-11092,Modern Revathi Chemicals,Prakash Prasad,dealer_distributor,Dealer,,Telangana,Telangana,Suryapet,Suryapet,364309,Agri belt,SR047,TS-North-7,36D5I2JKQPZ81Z2,6816074134,2017-01-26,100000,7,Active,seasonal,territory changed FY25
CORDLR000032,COR-77536,Lucky Arun Chemicals,Manoj Shetty,dealer_distributor,Distributor,,A.P.,Andhra Pradesh,Prakasam,Ongole,372339,Construction,SR028,AP-East-1,37QGYVZP9U411Z6,8701830617,2019-06-27,1200000,60,Active,stable,
CORDLR000033,COR-84809,Shree Yusuf Stores,Kavya Pillai,dealer_distributor,Retailer,,Telangana,Telangana,Nizamabad,Nizamabad,367811,Highway,SR006,TS-West-3,36HUZSEW1BA61Z2,9901284915,2020-05-25,400000,60,Active,stable,GST pending
CORDLR000034,COR-27305,Kaveri Venkatesh Agro,Yusuf Prasad,dealer_distributor,Dealer,,Karnataka,Karnataka,Mysuru,Mysuru,293933,Agri belt,SR008,KA-North-6,2984HJEBRAQN1Z7,7510199871,2025-08-01,750000,21,Active,growing,manual code from distributor sheet
CORDLR000035,NA,Sri Meena Agro,Geetha Khan,dealer_distributor,Cooperative,,Karnataka,Karnataka,Tumakuru,Tumakuru,294362,Metro,SR115,KA-West-8,29VASVINCEMJ1Z6,6142144871,2020-08-18,75000,30,Blocked,new,duplicate name in old ERP
CORDLR000036,COR-32320,Metro Deepak Agro,Lokesh Kumar,dealer_distributor,Distributor,,Andhra Pradesh,Andhra Pradesh,Tirupati,Tirupati,372095,Metro,SR149,AP-East-3,37ZMCTFKFARE1Z6,7066582624,06/12/2017,250000,15,Active,lost,duplicate name in old ERP
CORDLR000037,COR-71250,Prime Hari Depot,Lakshmi Khan,dealer_distributor,Distributor,,Andhra Pradesh,Andhra Pradesh,Kadapa,Kadapa,371958,Construction,SR095,AP-North-3,37V2IZEB1LQ01Z2,9615218869,21/06/2020,1200000,0,Blocked,growing,territory changed FY25
