farmer_id,farmer_name,mapped_store_id,mapped_dealer_id,state,district,village,mobile,primary_crop,acreage,irrigation,data_quality_note
CORFRM0000001,Ganesh Nair,CORSTR00986,CORDLR001265,ANDHRA,East Godavari,Kottapalli,6520667514,Maize,19.79,borewell,
CORFRM0000002,Ganesh Joseph,CORSTR00771,,Andhra Pradesh,Prakasam,Pudur,8307146601,Coconut,12.99,canal,same mobile in family
CORFRM0000003,Priya Khan,CORSTR01008,,Karnataka,Dharwad,Halli,7626291229,Coconut,10.54,rainfed,village spelling mismatch
CORFRM0000004,Anand Kumar,CORSTR00232,,Karnataka,Davanagere,Halli,6520149424,Chilli,33.57,rainfed,mapped to nearest store
CORFRM0000005,Senthil Rao,CORSTR00196,,Karnataka,Shivamogga,Halli,6075203477,Vegetables,20.76,canal,village spelling mismatch
CORFRM0000006,Irfan Gowda,CORSTR00874,CORDLR000951,KARNATAKA,Shivamogga,Melur,6826801248,Cotton,29.43,drip,same mobile in family
CORFRM0000007,Manoj Shetty,CORSTR00978,CORDLR001315,Telangana,Siddipet,Melur,9727977589,Sugarcane,28.95,unknown,crop not updated
CORFRM0000008,Geetha Prasad,CORSTR00870,CORDLR002755,TS,Nizamabad,Kottapalli,9480482057,Groundnut,16.39,unknown,mapped to nearest store
CORFRM0000009,Jagan Pillai,CORSTR01128,CORDLR000739,Telangana,Nalgonda,Nalgonda Rural,6657421840,Mango,32.95,canal,village spelling mismatch
CORFRM0000010,Anand Pillai,CORSTR00975,,Telangana,Warangal,Kottapalli,7429457086,Paddy,10.84,borewell,
CORFRM0000011,Anand Shetty,CORSTR00498,,Telangana,Nizamabad,Rampur,7583568464,Groundnut,7.56,rainfed,same mobile in family
CORFRM0000012,Jagan Prasad,CORSTR00157,,Karnataka,Kalaburagi,Kottapalli,6988374089,Coconut,21.67,borewell,village spelling mismatch
CORFRM0000013,Venkatesh Kumar,CORSTR00408,CORDLR000406,Karnataka,Ballari,Rampur,9988821045,Maize,2.72,unknown,same mobile in family
CORFRM0000014,Naveen Joseph,CORSTR00502,,Telangana,Khammam,Cheruvu,6508899020,Mango,16.12,drip,crop not updated
CORFRM0000015,Chandra Patil,CORSTR00229,,Andhra Pradesh,Kadapa,Palem,8066312067,Mango,19.95,canal,same mobile in family
CORFRM0000016,Karthik Varma,CORSTR01135,,Karnataka,Bengaluru Urban,Pudur,8165147990,Groundnut,24.22,drip,village spelling mismatch
CORFRM0000017,Yusuf Patil,CORSTR00673,,Karnataka,Raichur,Rampur,9301366904,Sugarcane,14.41,canal,mapped to nearest store
CORFRM0000018,Venkatesh Gowda,CORSTR00742,CORDLR002880,Andhra Pradesh,Visakhapatnam,Halli,7224737119,Coconut,5.96,borewell,
CORFRM0000019,Manoj Das,CORSTR01103,,Tamil Nadu,Erode,Halli,7174082802,Cotton,3.03,canal,same mobile in family
CORFRM0000020,Irfan Joseph,CORSTR00592,CORDLR002066,AP,Kadapa,Rampur,7029981039,Turmeric,19.93,borewell,same mobile in family
CORFRM0000021,Lakshmi Menon,CORSTR00351,CORDLR001857,Telangana,Warangal,Cheruvu,9415038559,Coconut,26.77,canal,same mobile in family
CORFRM0000022,Jagan Naidu,CORSTR00987,CORDLR002341,Telangana,Adilabad,Rampur,0,Cotton,4.76,borewell,crop not updated
CORFRM0000023,Geetha Shetty,CORSTR00186,,Karnataka,Kalaburagi,Melur,9007014042,Turmeric,30.41,borewell,crop not updated
CORFRM0000024,Kavya Varma,CORSTR01138,CORDLR002849,Tamil Nadu,Thanjavur,Halli,9272554692,Mango,19.8,borewell,same mobile in family
CORFRM0000025,Irfan Khan,CORSTR00672,,Karnataka,Dharwad,Rampur,7865657683,Sugarcane,7.54,rainfed,mapped to nearest store
CORFRM0000026,Rafiq Prasad,CORSTR00949,,Andhra Pradesh,Visakhapatnam,Kottapalli,6061267083,Maize,4.53,borewell,crop not updated
CORFRM0000027,Ganesh Naidu,CORSTR00644,,AP,Guntur,Kottapalli,6674334480,Maize,20.94,drip,
CORFRM0000028,Sowmya Joseph,CORSTR00031,,TG,Siddipet,Melur,7140694584,Turmeric,25.97,drip,
CORFRM0000029,Suresh Rao,CORSTR01123,,Andhra Pradesh,East Godavari,Halli,9139458293,Paddy,7.48,unknown,same mobile in family
CORFRM0000030,Lokesh Kumar,CORSTR01134,,Telangana,Warangal,Melur,8915874829,Cotton,21.15,rainfed,
CORFRM0000031,Rafiq Nair,CORSTR00488,,Telangana,Hyderabad,Cheruvu,7806535608,Coconut,27.8,unknown,
CORFRM0000032,Farida Das,CORSTR00443,,AP,Tirupati,Rampur,9236352580,Chilli,28.83,rainfed,same mobile in family
CORFRM0000033,Hari Joseph,CORSTR01092,,Andhra Pradesh,Tirupati,Halli,8249411593,Groundnut,23.58,canal,same mobile in family
CORFRM0000034,Sanjay Naidu,CORSTR01027,,Telangana,Khammam,Rampur,7022795733,Banana,29.95,rainfed,crop not updated
CORFRM0000035,Sowmya Kumar,CORSTR00648,,Karnataka,Shivamogga,Shivamogga Rural,9519596700,Cotton,2.08,drip,
CORFRM0000036,Jagan Reddy,CORSTR00943,CORDLR002566,Telangana,Warangal,Palem,7653646632,Sugarcane,18.38,unknown,mapped to nearest store
CORFRM0000037,Deepak Varma,CORSTR00700,,A.P.,East Godavari,Halli,9538540351,Turmeric,4.79,unknown,
CORFRM0000038,Anand Shetty,CORSTR00154,,Andhra Pradesh,Prakasam,Rampur,6459481959,Coconut,32.5,unknown,mapped to nearest store
CORFRM0000039,Naveen Iyer,CORSTR01084,,Andhra Pradesh,Prakasam,Kottapalli,8208471441,Chilli,4.65,drip,mapped to nearest store
CORFRM0000040,Naveen Joseph,CORSTR00704,,Karnataka,Davanagere,Pudur,8005872553,Groundnut,21.34,borewell,mapped to nearest store
CORFRM0000041,Ganesh Naidu,CORSTR00404,,Telangana,Suryapet,Melur,6310105547,Turmeric,5.83,canal,mapped to nearest store
CORFRM0000042,Manoj Babu,CORSTR00946,,Telangana,Nizamabad,Halli,9431187970,Maize,31.68,borewell,
CORFRM0000043,Chandra Kumar,CORSTR00896,CORDLR001007,Andhra Pradesh,Kadapa,Melur,8828337660,Chilli,28.54,unknown,crop not updated
CORFRM0000044,Chandra Khan,CORSTR00253,,Karnataka,Tumakuru,Tumakuru Rural,9204109772,Groundnut,30.77,rainfed,same mobile in family
CORFRM0000045,Naveen Naidu,CORSTR00414,CORDLR000082,Telangana,Siddipet,Cheruvu,6034103960,Turmeric,9.68,canal,same mobile in family
CORFRM0000046,Rafiq Nair,CORSTR00839,,Andhra Pradesh,Kadapa,Cheruvu,9501294178,Vegetables,20.12,drip,mapped to nearest store
CORFRM0000047,Priya Varma,CORSTR00876,,Karnataka,Dakshina Kannada,Palem,9654565596,Chilli,9.21,canal,
CORFRM0000048,Bala Pillai,CORSTR01077,,Andhra Pradesh,East Godavari,Halli,6356180386,Groundnut,30.34,unknown,same mobile in family
CORFRM0000049,Lokesh Acharya,CORSTR00420,CORDLR002737,TELANGANA,Warangal,Warangal Rural,8004128681,Turmeric,21.96,unknown,
CORFRM0000050,Lakshmi Shetty,CORSTR01097,,KARNATAKA,Udupi,Palem,7983852862,Vegetables,34.43,drip,village spelling mismatch
CORFRM0000051,Geetha Menon,CORSTR00644,,Andhra Pradesh,Nellore,Palem,7247079820,Coconut,1.18,rainfed,village spelling mismatch
CORFRM0000052,Sanjay Menon,CORSTR01055,,Telangana,Suryapet,Cheruvu,7240774547,Chilli,9.6,unknown,
CORFRM0000053,Sowmya Reddy,CORSTR01003,CORDLR001128,Telangana,Mahbubnagar,Halli,9171026950,Groundnut,13.65,rainfed,crop not updated
CORFRM0000054,Manoj Acharya,CORSTR00421,CORDLR001831,Telangana,Mahbubnagar,Cheruvu,9347102827,Maize,20.15,rainfed,crop not updated
CORFRM0000055,Hari Das,CORSTR00812,,Telangana,Nalgonda,Halli,9811924360,Cotton,7.4,canal,mapped to nearest store
CORFRM0000056,Venkatesh Pillai,CORSTR00616,CORDLR002793,Karnataka,Dharwad,Rampur,9168092667,Chilli,8.75,rainfed,village spelling mismatch
CORFRM0000057,Naveen Gowda,CORSTR00215,,Tamil Nadu,Tiruchirappalli,Rampur,7076665485,Maize,1.36,canal,crop not updated
CORFRM0000058,Deepak Acharya,CORSTR00593,CORDLR002744,Andhra Pradesh,Anantapur,Anantapur Rural,8819304199,Coconut,1.79,canal,crop not updated
CORFRM0000059,Anand Iyer,CORSTR00468,CORDLR001083,KA,Kalaburagi,Rampur,6621767760,Banana,1.42,rainfed,village spelling mismatch
CORFRM0000060,Meena Rao,CORSTR00564,,Telangana,Adilabad,Melur,6949155815,Mango,23.34,unknown,mapped to nearest store
CORFRM0000061,Naveen Naidu,CORSTR00381,,Andhra Pradesh,Visakhapatnam,Melur,7514916944,Groundnut,25.08,canal,village spelling mismatch
CORFRM0000062,Revathi Menon,CORSTR00861,CORDLR001083,Andhra Pradesh,Visakhapatnam,Visakhapatnam Rural,8671299101,Cotton,13.37,rainfed,same mobile in family
CORFRM0000063,Karthik Naidu,CORSTR01078,CORDLR000945,Andhra Pradesh,Kakinada,Pudur,6580922347,Groundnut,15.56,drip,crop not updated
CORFRM0000064,Lokesh Khan,CORSTR00166,,Andhra Pradesh,Anantapur,Pudur,6010291917,Paddy,25.94,drip,same mobile in family
CORFRM0000065,Senthil Kumar,CORSTR00471,CORDLR000112,Andhra Pradesh,Kurnool,Kottapalli,8341386603,Groundnut,10.36,unknown,village spelling mismatch
CORFRM0000066,Hari Das,CORSTR00966,,Andhra Pradesh,Kadapa,Kottapalli,8404859143,Groundnut,21.32,borewell,
CORFRM0000067,Sowmya Iyer,CORSTR00761,,Andhra Pradesh,Tirupati,Palem,8957404860,Cotton,26.46,drip,village spelling mismatch
CORFRM0000068,Kavya Prasad,CORSTR00127,CORDLR002310,Telangana,Suryapet,Melur,8629185375,Cotton,12.11,drip,
CORFRM0000069,Meena Rao,CORSTR00081,CORDLR001781,Andhra Pradesh,Kadapa,Halli,7891404007,Sugarcane,30.97,unknown,same mobile in family
CORFRM0000070,Priya Das,CORSTR00512,CORDLR002650,Telangana,Karimnagar,Pudur,6985757043,Chilli,18.46,borewell,
CORFRM0000071,Lakshmi Menon,CORSTR00414,,Andhra Pradesh,Nellore,Halli,7371896990,Banana,23.1,drip,mapped to nearest store
CORFRM0000072,Karthik Babu,CORSTR00001,,Telangana,Khammam,Melur,7877843416,Chilli,26.61,drip,crop not updated
CORFRM0000073,Venkatesh Acharya,CORSTR00907,CORDLR002895,Telangana,Warangal,Warangal Rural,7362993370,Groundnut,23.86,borewell,crop not updated
CORFRM0000074,Naveen Varma,CORSTR00157,CORDLR000197,Andhra Pradesh,Guntur,Palem,9734571115,Groundnut,34.65,canal,village spelling mismatch
CORFRM0000075,Senthil Joseph,CORSTR00184,,Karnataka,Mysuru,Cheruvu,7671238911,Groundnut,2.59,borewell,same mobile in family
CORFRM0000076,Geetha Patil,CORSTR00807,CORDLR002966,Andhra Pradesh,Visakhapatnam,Melur,6708827572,Sugarcane,16.14,drip,mapped to nearest store
CORFRM0000077,Chandra Joseph,CORSTR00501,,Telangana,Warangal,Pudur,9164725337,Sugarcane,14.12,rainfed,
CORFRM0000078,Bala Patil,CORSTR00503,CORDLR002559,Tamil Nadu,Chennai,Cheruvu,7724696505,Banana,1.79,drip,village spelling mismatch
CORFRM0000079,Anand Khan,CORSTR00179,CORDLR001027,Telangana,Mahbubnagar,Palem,8141650749,Banana,26.24,canal,same mobile in family
CORFRM0000080,Bala Kumar,CORSTR00621,CORDLR002704,Karnataka,Raichur,Kottapalli,8816095652,Cotton,34.29,drip,
