customer_id,legacy_code,customer_name,owner_name,role,channel,parent_customer_id,state,state_clean,district,city,pincode,route_type,sales_rep_id,territory,gstin,mobile,onboarded_date,credit_limit,payment_terms_days,current_status,status_profile_for_eval,data_quality_note
PIDDLR000001,PID-96241,Metro Irfan Distributors & Co,Arun Patil,dealer,PKD,,Karnataka,Karnataka,Dakshina Kannada,Mangaluru,296429,Delta,SR135,KA-East-9,29C07679DUPN1Z7,7867272581,2019-04-24,1200000,45,Active,erratic,GST pending
PIDDLR000002,PID-57768,Kaveri Karthik Distributors,Anand Rao,dealer,Distributor,,Telangana,Telangana,Khammam,Khammam,364054,Rural,SR139,TS-South-6,3635R0YFNH7C1Z8,7761881040,2017-12-26,2000000,30,Active,lost,manual code from distributor sheet
PIDDLR000003,N/A,Royal Irfan Corporation,Meena Gowda,dealer,Project dealer,,Kerala,Kerala,Kannur,Kannur,328880,Tier2,SR117,KL-South-4,328AMBVM66WW1Z3,,2020-06-06,1200000,30,Active,growing,duplicate name in old ERP
PIDDLR000004,PID-77200,Lucky Hari Mart,Suresh Shetty,dealer,Project dealer,,Andhra Pradesh,Andhra Pradesh,Kurnool,Kurnool,373994,Highway,SR143,AP-South-5,37BJZFPQIER01Z7,7021612396,2025-08-18,750000,45,Active,credit_watch,GST pending
PIDDLR000005,,Vijaya Rafiq Chemicals,Jagan Kumar,dealer,PKD,,Andhra Pradesh,Andhra Pradesh,Krishna,Vijayawada,376217,Rural,SR125,AP-North-6,37MR26A7EVWO1Z2,9279405869,08/19/2019,7500000,21,Active,credit_watch,duplicate name in old ERP
PIDDLR000006,PID-39602,Shree Hari Hardware,Naveen Nair,dealer,Distributor,,Telangana,Telangana,Suryapet,Suryapet,364158,Coastal,SR125,TS-South-4,36CKHK25PGPU1Z7,7519189775,2025-01-29,500000,0,Blocked,growing,manual code from distributor sheet
PIDDLR000007,PID-11944,Modern Deepak Distributors,Naveen Naidu,dealer,Dealer,,Kerala,Kerala,Kottayam,Kottayam,329548,Coastal,SR112,KL-East-1,32B2KW4EKWMH1Z1,8720024738,15/11/2023,5000000,21,Watch,seasonal,
PIDDLR000008,PID-67038,Metro Lakshmi Distributors,Venkatesh Joseph,dealer,Dealer,,Telangana,Telangana,Adilabad,Adilabad,367430,Tier2,SR096,TS-North-9,36R8BSFIT12T1Z5,8631339068,2018-04-27,7500000,0,Active,declining,territory changed FY25
PIDDLR000009,PID-73600,Mahalakshmi Ganesh Distributors,Hari Iyer,dealer,Project dealer,,Telangana,Telangana,Nizamabad,Nizamabad,364183,Delta,SR135,TS-West-9,364SH3W8MXJD1Z2,NA,2019-05-09,500000,15,Active,seasonal,phone shared by two outlets
PIDDLR000010,PID-10518,New Irfan Services,Meena Kumar,dealer,Dealer,,TS,Telangana,Mahbubnagar,Mahbubnagar,363095,Delta,SR029,TS-North-8,36DP4IABXW3Z1Z6,7064511403,2020-02-17,500000,60,Inactive,stable,duplicate name in old ERP
