influencer_id,name,influencer_type,mapped_outlet_id,state,city,mobile,loyalty_tier,last_app_login,data_quality_note
PIDINF000001,Kavya Patil,Painter,PIDOUT003390,Tamil Nadu,Kanchipuram,8272092477,Platinum,2024-12-27,
PIDINF000002,Lokesh Prasad,Tile contractor,PIDOUT001113,Telangana,Hyderabad,9453006474,Silver,2024-10-17,mapped to old outlet
PIDINF000003,Bala Nair,Tile contractor,PIDOUT000234,Telangana,Adilabad,9486738170,Inactive,,same mobile as dealer
PIDINF000004,Rafiq Menon,Mason,PIDOUT003228,Tamil Nadu,Cuddalore,NA,Inactive,2024-09-25,name in local language in app
PIDINF000005,Rafiq Babu,Waterproofing applicator,PIDOUT001506,ANDHRA,Vijayawada,8242414486,Bronze,2026-01-06,mapped to old outlet
PIDINF000006,Farida Khan,Painter,PIDOUT007421,Kerala,Thrissur,8032547362,Inactive,21/11/2025,mapped to old outlet
PIDINF000007,Suresh Das,Waterproofing applicator,PIDOUT004092,Tamil Nadu,Kanchipuram,9459960716,Inactive,2024-07-07,
PIDINF000008,Sowmya Kumar,Painter,PIDOUT001891,Andhra Pradesh,Vijayawada,9851058364,Silver,2025-06-25,inactive but purchases seen
PIDINF000009,Arun Babu,Carpenter,PIDOUT004690,Karnataka,Kalaburagi,9999999999,Bronze,,inactive but purchases seen
PIDINF000010,Sanjay Joseph,Tile contractor,PIDOUT003173,Telangana,Nalgonda,7560336457,Silver,2024-12-11,mapped to old outlet
PIDINF000011,Karthik Gowda,Carpenter,PIDOUT000655,Telangana,Siddipet,6721387646,Silver,2025-05-28,mapped to old outlet
PIDINF000012,Naveen Patil,Waterproofing applicator,PIDOUT003404,Andhra Pradesh,Vijayawada,6723942183,Gold,,mapped to old outlet
PIDINF000013,Meena Reddy,Mason,PIDOUT005545,TELANGANA,Karimnagar,0,Inactive,2026-03-30,
PIDINF000014,Jagan Gowda,Mason,PIDOUT003824,Tamil Nadu,Tirunelveli,9487134707,Gold,05/10/2024,inactive but purchases seen
PIDINF000015,Sanjay Joseph,Carpenter,PIDOUT006467,Andhra Pradesh,Rajahmundry,NA,Bronze,2025-02-27,
PIDINF000016,Anand Kumar,Waterproofing applicator,PIDOUT006103,Andhra Pradesh,Ongole,8029813703,Gold,2025-11-19,same mobile as dealer
