customer_id,legacy_code,customer_name,owner_name,role,channel,parent_customer_id,state,state_clean,district,city,pincode,route_type,sales_rep_id,territory,gstin,mobile,onboarded_date,credit_limit,payment_terms_days,current_status,status_profile_for_eval,data_quality_note
PIDOUT000001,-,Sree Ganesh Stores,Kavya Reddy,retail_outlet,Hardware,PIDDLR001029,Telangana,Telangana,Nalgonda,Nalgonda,364252,Industrial,SR074,TS-West-9,36LSX7MGFO3R1Z7,6015023250,30-Jul-23,250000,21,Watch,declining,GST pending
PIDOUT000002,PID-62448,Shri Anand Hardware,Naveen Prasad,retail_outlet,Sanitary,PIDDLR000829,KL,Kerala,Kannur,Kannur,329948,Construction,SR129,KL-South-9,URD,9249375840,27/04/2025,150000,0,Active,declining,GST pending
PIDOUT000003,PID-58080,United Meena Hardware,Manoj Varma,retail_outlet,PKD,PIDDLR000820,Andhra Pradesh,Andhra Pradesh,Krishna,Vijayawada,377318,Construction,SR109,AP-West-1,37Y002VL8ULF1Z3,8879240391,24/11/2020,1200000,60,Inactive,declining,territory changed FY25
PIDOUT000004,PID-80509,NATIONAL DEEPAK ASSOCIATES,Meena Das,retail_outlet,Paint shop,PIDDLR000390,Andhra Pradesh,Andhra Pradesh,Kurnool,Kurnool,373361,Metro,SR119,AP-Central-3,37DZ3ZSYVQYD1Z3,8705828159,2020-05-09,750000,45,Active,declining,manual code from distributor sheet
PIDOUT000005,PID-43269,Sri Ganesh Corporation,Prakash Gowda,retail_outlet,Paint shop,PIDDLR000366,Tamil Nadu,Tamil Nadu,Tirunelveli,Tirunelveli,335339,Agri belt,SR010,TN-East-5,3330FJ4KSXH91Z1,8891200653,2021-05-21,400000,21,Active,stable,manual code from distributor sheet
PIDOUT000006,PID-48089,Balaji Priya Hardware & Co,Bala Rao,retail_outlet,Tile shop,PIDDLR000666,Andhra Pradesh,Andhra Pradesh,Nellore,Nellore,371087,Metro,SR014,AP-South-6,37IQZCOAQN0I1Z6,6039680708,31/01/2017,750000,45,Active,stable,manual code from distributor sheet
PIDOUT000007,PID-54951,Murugan Deepak Depot,Bala Varma,retail_outlet,PKD,PIDDLR001076,Tamil Nadu,Tamil Nadu,Madurai,Madurai,338674,Agri belt,SR009,TN-East-6,NA,8224617332,2017-12-25,150000,7,Watch,growing,territory changed FY25
PIDOUT000008,PID-24413,Sree Sanjay Hardware,Arun Patil,retail_outlet,PKD,PIDDLR000352,Tamil Nadu,Tamil Nadu,Thanjavur,Thanjavur,331024,Agri belt,SR026,TN-North-1,337RB2VAOW5X1Z8,9253032781,2018-11-04,100000,7,Active,seasonal,manual code from distributor sheet
PIDOUT000009,PID-80273,Royal Geetha Distributors,Irfan Nair,retail_outlet,Hardware,,Karnataka,Karnataka,Dharwad,Hubballi,299909,Rural,SR089,KA-West-2,URD,8924595534,16-Feb-23,750000,30,Active,credit_watch,territory changed FY25
PIDOUT000010,-,Shree Sanjay Distributors,Deepak Rao,retail_outlet,Sanitary,,Andhra Pradesh,Andhra Pradesh,Anantapur,Anantapur,379839,Delta,SR035,AP-East-9,371JR1XD6FQA1Z5,7291658313,09/13/2023,400000,15,Watch,new,GST pending
PIDOUT000011,PID-33562,Prime Kavya Fertilisers,Karthik Pillai,retail_outlet,Hardware,PIDDLR000003,Tamil Nadu,Tamil Nadu,Madurai,Madurai,339720,Tier2,SR053,TN-East-8,339K1EV5XGQS1Z4,8087045250,2020-08-04,150000,30,Active,stable,phone shared by two outlets
PIDOUT000012,PID-61813,Prime Yusuf Paints,Sowmya Iyer,retail_outlet,Sanitary,PIDDLR001017,Tamil Nadu,Tamil Nadu,Tiruchirappalli,Trichy,338851,Metro,SR058,TN-Central-7,33NTSEGNAPRG1Z4,8633547658,14-Oct-24,400000,60,Watch,stable,territory changed FY25
PIDOUT000013,PID-22296,United Sanjay Corporation,Kavya Das,retail_outlet,PKD,PIDDLR000453,Tamil Nadu,Tamil Nadu,Erode,Erode,331682,Tier2,SR048,TN-East-5,,6656271852,2023-05-06,750000,30,Active,erratic,territory changed FY25
PIDOUT000014,PID-92414,Metro Sanjay Hardware,Suresh Iyer,retail_outlet,Paint shop,PIDDLR000626,Telangana,Telangana,Mahbubnagar,Mahbubnagar,361402,Tier2,SR090,TS-East-8,36BS498R4YSE1Z6,8980144232,2021-07-07,250000,45,Active,credit_watch,territory changed FY25
PIDOUT000015,PID-99749,Shri Ganesh Agro,Naveen Kumar,retail_outlet,Paint shop,PIDDLR000479,Tamil Nadu,Tamil Nadu,Tiruchirappalli,Trichy,332827,Coastal,SR018,TN-North-7,338RBN7P682P1Z6,8030821310,2020-05-17,100000,21,Inactive,stable,
PIDOUT000016,PID-56136,Shree Irfan Hardware,Sanjay Acharya,retail_outlet,Sanitary,PIDDLR000206,Tamil Nadu,Tamil Nadu,Erode,Erode,339120,Metro,SR016,TN-West-8,33INW51OOF9P1Z9,8610882837,24/02/2017,0,15,Watch,seasonal,GST pending
PIDOUT000017,PID-55031,National Yusuf Sales,Chandra Iyer,retail_outlet,Lumber,PIDDLR000240,Kerala,Kerala,Thrissur,Thrissur,-,Delta,SR112,KL-West-6,32EAWFG5GC1A1Z3,6028741558,2022-02-23,400000,21,Inactive,stable,territory changed FY25
PIDOUT000018,PID-97226,Murugan Hari Hardware,Naveen Naidu,retail_outlet,Sanitary,,Tamil Nadu,Tamil Nadu,Tiruchirappalli,Trichy,N/A,Construction,SR120,TN-West-2,NA,6272823708,2024-01-11,50000,7,Active,lost,territory changed FY25
PIDOUT000019,PID-52289,National Geetha Depot,Meena Rao,retail_outlet,Tile shop,PIDDLR000829,Telangana,Telangana,Adilabad,Adilabad,365540,Coastal,SR112,TS-West-1,363SX4U0TGNJ1Z7,7019405406,2024-05-26,150000,7,Active,stable,territory changed FY25
PIDOUT000020,PID-16308,New Deepak Associates,Naveen Khan,retail_outlet,Tile shop,PIDDLR000724,Karnataka,Karnataka,Shivamogga,Shivamogga,295102,Rural,SR021,KA-Central-4,29GD2S25WOIH1Z9,6145421851,2019-05-29,0,15,Active,credit_watch,GST pending
PIDOUT000021,PID-92706,Balaji Meena Hardware,Irfan Shetty,retail_outlet,Tile shop,PIDDLR000268,Karnataka,Karnataka,Raichur,Raichur,295993,Agri belt,SR007,KA-East-1,298JKDWWJECU1Z6,8942534414,2017-05-21,75000,45,Active,lost,manual code from distributor sheet
PIDOUT000022,PID-79638,New Geetha Hardware,Lakshmi Iyer,retail_outlet,PKD,PIDDLR000781,Tamil Nadu,Tamil Nadu,Tirunelveli,Tirunelveli,335055,Construction,SR061,TN-East-8,332BP214X68N1Z7,9955812799,2022-04-04,50000,0,Active,seasonal,phone shared by two outlets
PIDOUT000023,null,Prime Lokesh Tyres,Suresh Naidu,retail_outlet,Hardware,PIDDLR000976,KERALA,Kerala,Palakkad,Palakkad,326147,Agri belt,SR121,KL-North-5,32V5801I5TR21Z4,7661915373,02/07/2021,150000,60,Active,stable,territory changed FY25
PIDOUT000024,PID-55807,Royal Sanjay Services,Geetha Acharya,retail_outlet,Tile shop,PIDDLR000146,Karnataka,Karnataka,Belagavi,Belagavi,298716,Construction,SR013,KA-Central-1,29N9YTDFVYBS1Z1,8462028587,29/10/2024,400000,21,Active,lost,
PIDOUT000025,PID-44044,United Sanjay Hardware,Hari Prasad,retail_outlet,Lumber,PIDDLR000888,Tamil Nadu,Tamil Nadu,Erode,Erode,333483,Agri belt,SR057,TN-West-8,3334N6IQWNT51Z8,7792355097,2022-09-07,75000,30,Active,stable,GST pending
PIDOUT000026,PID-89008,Murugan Hari Hardware,Prakash Das,retail_outlet,Tile shop,PIDDLR001089,Andhra Pradesh,Andhra Pradesh,Kakinada,Kakinada,371642,Highway,SR034,AP-North-2,37TDGRNHKOW01Z9,9952525333,2025-01-03,100000,0,Active,credit_watch,phone shared by two outlets
PIDOUT000027,PID-76094,Lucky Lakshmi Hardware,Manoj Rao,retail_outlet,Sanitary,PIDDLR000239,A.P.,Andhra Pradesh,Prakasam,Ongole,371113,Metro,SR023,AP-North-8,37G0JB8J7YA21Z1,9461281675,2017-10-17,400000,45,Active,declining,
PIDOUT000028,PID-75203,Star Venkatesh Hardware,Rafiq Varma,retail_outlet,Sanitary,PIDDLR000050,Karnataka,Karnataka,Belagavi,Belagavi,294697,Hill route,SR088,KA-South-2,296IM690PQK41Z5,8442021845,2022-03-29,250000,15,Active,stable,phone shared by two outlets
PIDOUT000029,PID-16530,Sri Revathi Hardware,Sanjay Reddy,retail_outlet,Tile shop,PIDDLR000089,Tamil Nadu,Tamil Nadu,Chennai,Chennai,336029,Highway,SR134,TN-North-2,3322I5UGZKJA1Z9,7820858436,27/06/2025,150000,15,Active,erratic,GST pending
PIDOUT000030,PID-52013,City Sowmya Stores,Meena Gowda,retail_outlet,PKD,PIDDLR000189,Karnataka,Karnataka,Kalaburagi,Kalaburagi,294636,Metro,SR140,KA-Central-8,290AHCQET0QL1Z1,7489081064,2022-06-26,75000,21,Active,stable,phone shared by two outlets
PIDOUT000031,PID-38396,Modern Sowmya Hardware,Yusuf Iyer,retail_outlet,PKD,PIDDLR000280,Karnataka,Karnataka,Udupi,Udupi,294352,Industrial,SR084,KA-East-8,293VPVZT4GZA1Z4,8216846145,2023-05-14,100000,0,Watch,credit_watch,GST pending
PIDOUT000032,PID-86336,Lucky Ganesh Depot,Suresh Joseph,retail_outlet,Hardware,,Karnataka,Karnataka,Dharwad,Hubballi,292177,Coastal,SR065,KA-South-7,29SY1AZ71C7N1Z9,9029023491,31/12/2020,150000,30,Active,declining,GST pending
PIDOUT000033,PID-36796,United Bala Agro,Geetha Menon,retail_outlet,Sanitary,PIDDLR000361,Andhra Pradesh,Andhra Pradesh,Anantapur,Anantapur,373500,Delta,SR019,AP-South-5,Applied,6352640099,2022-02-17,750000,45,Active,growing,territory changed FY25
PIDOUT000034,PID-78264,Kaveri Priya Agro,Karthik Pillai,retail_outlet,Lumber,PIDDLR000400,Tamilnadu,Tamil Nadu,Madurai,Madurai,333745,Rural,SR078,TN-South-8,332WGN60107D1Z4,8275191928,2022-05-23,1200000,45,Active,stable,phone shared by two outlets
PIDOUT000035,PID-60123,New Priya Chemicals Ltd,Deepak Gowda,retail_outlet,PKD,PIDDLR000574,KA,Karnataka,Ballari,Ballari,291766,Agri belt,SR129,KA-South-8,29JS0VWZGXUL1Z5,7268827607,2019-01-12,750000,30,Watch,lost,
PIDOUT000036,NA,New Revathi Hardware,Sanjay Khan,retail_outlet,Lumber,PIDDLR000138,Telangana,Telangana,Warangal,Warangal,361433,Tier2,SR101,TS-East-3,36D853GNJ8WI1Z6,9592937298,2024-08-07,400000,45,Active,stable,phone shared by two outlets
